#https://www.aanda.org/articles/aa/pdf/2016/12/aa27895-15.pdf
#Quasar, DTM, DTMerr, z, [O/H], [O/H]err, xuplims, yuplims 
Q0013-004, 0.92, 0.03, 1.973, 1.26, 0.2, 1, 0
Q0102-190a, 0.39, 0.14, 2.370, 0.21, 0.2, 1, 0
Q0102-190b, 1.03, 0.00, 2.926, -1.55, 0.10, 0, 0
Q0347-383, 0.87, 0.04, 3.025, -0.97, 0.12, 0, 0
Q0405-443b, 0.37, 0.15, 2.550, -0.18, 0.2, 1, 0
Q0528-250a, 0.54, 0.11, 2.141, 0.31, 0.2, 1, 0
Q0528-250b, 0.69, 0.08, 2.811, -0.67, 0.2, 1, 0
Q0841+129b, 0.38, 0.15, 2.375, -0.01, 0.2, 1, 0
Q0841+129c, 0.34, 0.16, 2.476, -1.37, 0.1, 0, 0
Q0913+072, 1.02, 0.00, 2.618, -2.46, 0.1, 0, 0
Q1036-229, 0.78, 0.06, 2.778, -0.24, 0.2, 1, 0
Q1111-152, 0.54, 0.11, 3.266, -1.09, 0.2, 1, 0
Q1331+170, 0.89, 0.03, 1.776, -0.34, 0.2, 1, 0
Q1337+113a, 1.02, 0.00, 2.508, -1.87, 0.09, 0, 0 
Q1337+113b, 0.84, 0.04, 2.796, -1.89, 0.11, 0, 0
Q1340-136, 0.83, 0.05, 3.118, -1.21, 0.08, 0, 0
Q1409+095a, 0.27, 0.17, 2.019, 0.61, 0.2, 1, 0
Q1409+095b, 1.01, 0.01, 2.456, -1.88, 0.08, 0, 0
Q1451+123c, 1.03, 0.00, 3.171, -0.63, 0.2, 1, 0
Q2059-360b, 0.73, 0.07, 3.083, -1.57, 0.09, 0, 0
Q2116-358, 0.76, 0.06, 1.996, 0.76, 0.2, 1, 0
Q2138-444b, 0.07, 0.21, 2.852, -0.75, 0.2, 1, 0
Q2243-605, 0.56, 0.11, 2.331, 0.5, 0.5, 1, 0
Q2332-094b, 0.92, 0.03, 3.057, -1.31, 0.07, 0, 0
Q2359-022b, 1.02, 0.00, 2.154, 1.61, 0.2, 1, 0
