#https://www.aanda.org/articles/aa/pdf/2016/12/aa27895-15.pdf
#quasar, [Zn/Fe], [Zn/Fe]err, [M/H], [M/H]err, DTM, DTMerr, yuplims, z, xuplims
Q0000-263, -0.12, 0.06, -2.14, 0.11, 0.59, 0.2, 1, 3.39013, 0 
Q0010-002, -0.25, 0.05, -1.49, 0.13, 0.42, 0.2, 1, 2.02471, 0
Q0058-292, 0.23, 0.03, -1.48, 0.11, 0.51, 0.12, 0,  2.67123, 0
Q0100+130, 0.14, 0.02, -1.62, 0.11, 0.34, 0.15, 0, 2.30903, 0
Q0216+080a, 0.25, 0.06, -1.02, 0.13, 0.53, 0.11, 0, 1.76873, 0
Q0216+080b, 0.33, 0.05, -0.61, 0.15, 0.64, 0.09, 0, 2.29307, 0
Q0405-443a, 0.02, 0.03, -1.08, 0.12, 0.06, 0.22, 0, 1.91193, 0
Q0405-443c, 0.26, 0.02, -1.14, 0.12, 0.56, 0.11, 0, 2.59442, 0
Q0458-020, 0.56, 0.05, -1.15, 0.16, 0.83, 0.04, 0, 2.03939, 0 
Q0551-366, 0.71, 0.04, -0.25, 0.11, 0.91, 0.03, 0, 1.96150, 0
Q1117-134, 0.14, 0.05, -1.46, 0.11, 0.35, 0.15, 0, 3.35027, 0
Q1157+014, 0.31, 0.02, -1.42, 0.11, 0.62, 0.09, 0, 1.94317, 0
Q1209+093, 0.44, 0.03, -0.98, 0.13, 0.75, 0.06, 0, 2.58362, 0
Q1223+178, -0.02, 0.03, -1.64, 0.14, 0.68, 0.2, 1, 2.46530, 0
Q1444+014, 0.87, 0.07, -0.63, 0.19, 0.95, 0.02, 0, 2.08667, 0
Q1451+123a, 0.27, 0.12, -1.00, 0.15, 0.57, 0.10, 0, 2.25446, 0 
Q2138-444a, 0.33, 0.08, -1.07, 0.11, 0.64, 0.09, 0, 2.38215, 0
Q2206-199a, 0.21, 0.02, -0.51, 0.15, 0.47, 0.13, 0, 1.91993, 0
Q2332-094a, 0.92, 0.03, -0.20, 0.14, 0.97, 0.02, 0, 2.28737, 0
Q2343+125a, 0.38, 0.03, -0.86, 0.10, 0.70, 0.08, 0, 2.43123, 0
Q2359-022a, 0.76, 0.08, -0.53, 0.18, 0.92, 0.03, 0, 2.09404, 0 
