id,SFR__Msol_per_yr,SFR_err,Mstar__Msol,Mstar_err,Lbolo__Lsol,Lbolo_err,Lold_unatt__Lsol,Lold_unatt_err,Lyoung_unatt__Lsol,Lyoung_unatt_err,Lold_abs__Lsol,Lyoung_abs__Lsol,Afuv,Afuv_err,Av_b90,Av_b90_err,Mdust__Msol,Mdust_err,Ldust__Lsol,Ldust_err,Umin,Umin_err,Tdust__K,Tdust_err,qpah,qpah_err,gamma,gamma_err,red_chi2
ESO097-013,2.400E+01,9.674E+00,1.762E+10,9.143E+09,1.811E+11,5.642E+10,8.682E+10,1.859E+10,9.432E+10,3.802E+10,1.400E+09,1.055E+10,0.186,0.320,0.040,0.064,2.155E+07,4.977E+06,1.271E+10,1.265E+09,1.789,1.037,20.163,1.947,1.253,0.791,0.118,0.051,1.200
ESO116-012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ESO149-001,3.681E-01,4.558E-02,3.900E+09,9.446E+08,9.634E+09,4.817E+08,8.187E+09,4.697E+08,1.447E+09,1.791E+08,4.161E+08,4.411E+08,0.313,0.051,0.055,0.014,3.889E+06,1.092E+06,8.497E+08,1.037E+08,1.457,0.530,19.485,1.181,0.829,0.436,0.007,0.005,1.332
ESO149-013,6.995E-03,1.803E-02,3.181E+08,1.558E+08,2.534E+08,1.175E+08,2.260E+08,5.958E+07,2.749E+07,7.087E+07,6.260E+06,3.747E+02,0.262,0.623,0.062,0.164,6.473E+04,1.664E+05,6.576E+06,8.206E+06,9.003,14.208,26.394,6.943,3.657,2.186,0.075,0.136,0.250
ESO157-047,4.433E-02,1.066E-02,4.653E+08,1.946E+08,8.345E+08,4.172E+07,6.602E+08,7.330E+07,1.742E+08,4.190E+07,6.248E+07,5.701E+07,0.358,0.116,0.072,0.029,3.669E+05,4.194E+05,9.597E+07,2.683E+07,7.192,10.677,25.425,6.291,1.048,0.839,0.003,0.010,0.339
ESO157-049,5.266E-01,1.095E-01,5.010E+09,1.561E+09,7.984E+09,4.103E+08,5.914E+09,4.167E+08,2.069E+09,4.304E+08,3.016E+09,1.729E+09,3.459,0.210,1.046,0.109,1.286E+07,1.073E+07,4.729E+09,4.371E+08,3.584,2.672,22.638,2.814,2.866,0.550,0.009,0.003,0.299
ESO209-009,2.807E-01,4.289E-01,1.670E+10,6.471E+09,1.722E+10,2.504E+09,1.612E+10,1.511E+09,1.103E+09,1.686E+09,8.958E+09,2.061E+08,5.713,1.966,1.822,0.607,4.064E+07,6.889E+06,9.703E+09,6.327E+08,1.569,0.399,19.726,0.836,3.764,0.654,0.006,0.003,0.488
ESO240-004,4.733E-02,8.844E-03,2.727E+08,1.196E+08,6.244E+08,4.989E+07,4.384E+08,7.751E+07,1.860E+08,3.476E+07,2.961E+07,5.628E+07,0.259,0.120,0.054,0.030,1.673E+06,1.271E+06,6.736E+07,3.035E+07,1.462,5.607,19.495,12.463,3.278,2.049,0.028,0.067,0.128
ESO289-020,1.759E-02,3.045E-03,5.726E+07,3.978E+07,1.774E+08,3.088E+07,1.083E+08,3.133E+07,6.912E+07,1.197E+07,2.075E+07,4.553E+07,0.417,0.201,0.095,0.056,3.111E+05,3.095E+05,3.538E+07,1.846E+07,3.034,6.708,22.018,8.114,2.455,1.846,0.009,0.037,0.416
ESO351-030,4.183E-09,6.545E-09,5.687E+02,3.294E+02,3.657E+02,8.092E+01,3.492E+02,8.728E+01,1.644E+01,2.572E+01,1.760E+02,2.304E+01,2.893,2.074,0.761,0.589,6.314E-01,1.490E+00,1.069E+02,5.926E+01,11.470,14.803,27.482,5.911,4.276,1.928,0.029,0.084,0.558
